"department","count","min_tenure","max_tenure","avg_tenure"
"Accounting","586","0","30","14.9078498293515358"
"Auditing","12","2","27","15.8333333333333333"
"Business Development","275","0","30","15.1418181818181818"
"Engineering","1185","0","30","15.0345991561181435"
"Human Resources","309","0","30","14.1812297734627832"
"Legal","63","1","29","15.2857142857142857"
"Marketing","72","0","30","13.5972222222222222"
"Product Management","114","0","30","15.2631578947368421"
"Research and Development","212","0","30","15.0000000000000000"
"Sales","335","0","30","15.2746268656716418"
"Services","293","0","30","14.9419795221843003"
"Support","182","0","30","15.4120879120879121"
"Training","291","0","30","14.1168384879725086"
